iter	Passed	Remaining
147	306	1764
148	307	1755
149	308	1747
150	309	1739
151	310	1732
152	311	1725
153	312	1717
154	313	1709
155	314	1701
156	315	1694
157	316	1687
158	317	1679
159	318	1670
160	318	1661
161	319	1654
162	320	1647
163	321	1640
164	322	1632
165	323	1625
166	324	1618
167	325	1612
168	326	1605
169	327	1599
170	328	1592
171	329	1585
172	330	1579
173	331	1574
174	332	1568
175	333	1562
176	334	1556
177	335	1550
178	336	1544
179	337	1538
180	338	1531
181	339	1525
182	340	1519
183	341	1514
184	342	1509
185	343	1503
186	344	1497
187	345	1490
188	346	1485
189	347	1482
190	348	1477
191	349	1472
192	350	1466
193	351	1461
194	352	1455
195	353	1450
196	354	1444
197	355	1438
198	356	1433
199	357	1428
200	358	1424
201	359	1419
202	360	1413
203	360	1408
204	361	1403
205	362	1398
206	364	1394
207	364	1389
208	365	1384
209	366	1379
210	367	1374
211	368	1369
212	369	1365
213	370	1360
214	371	1356
215	372	1352
216	373	1348
217	375	1345
218	376	1341
219	377	1336
220	378	1332
221	379	1328
222	380	1324
223	381	1320
224	382	1316
225	383	1311
226	384	1308
227	385	1304
228	386	1300
229	387	1296
230	388	1292
231	388	1287
232	389	1283
233	390	1279
234	391	1275
235	392	1271
236	393	1267
237	394	1264
238	395	1260
239	396	1256
240	397	1253
241	398	1249
242	399	1244
243	400	1240
244	401	1236
245	402	1233
246	403	1229
247	404	1225
248	404	1221
249	405	1217
250	406	1213
251	407	1210
252	408	1206
253	409	1202
254	410	1199
255	411	1195
256	412	1192
257	413	1188
258	414	1185
259	415	1181
260	416	1178
261	417	1174
262	418	1171
263	419	1168
264	419	1164
265	420	1161
266	421	1157
267	422	1155
268	423	1151
269	424	1147
270	425	1144
271	426	1141
272	427	1137
273	428	1134
274	429	1131
275	429	1127
276	430	1124
277	431	1121
278	432	1118
279	433	1115
280	434	1112
281	435	1108
282	436	1105
283	437	1103
284	438	1100
285	439	1097
286	440	1094
287	441	1091
288	442	1088
289	443	1086
290	444	1082
291	445	1079
292	446	1077
293	447	1074
294	448	1071
295	449	1068
296	450	1065
297	451	1063
298	452	1060
299	453	1057
300	454	1054
301	455	1052
302	456	1049
303	457	1046
304	457	1043
305	459	1041
306	460	1038
307	460	1035
308	461	1032
309	462	1030
310	463	1027
311	464	1024
312	465	1021
313	466	1019
314	467	1016
315	468	1013
316	469	1011
317	470	1008
318	471	1006
319	472	1003
320	473	1000
321	474	998
322	475	995
323	476	993
324	477	990
325	478	988
326	479	985
327	480	983
328	481	981
329	481	978
330	483	976
331	483	973
332	484	970
333	485	968
334	486	965
335	487	963
336	488	960
337	489	958
338	490	956
339	491	953
340	492	951
341	493	949
342	494	947
343	495	944
344	496	943
345	497	940
346	498	938
347	499	935
348	500	933
349	501	931
350	502	928
351	503	926
352	504	924
353	505	921
354	506	919
355	507	917
356	508	914
357	509	912
358	509	910
359	510	908
360	511	906
361	513	904
362	514	902
363	515	900
364	516	898
365	517	896
366	518	894
367	519	892
368	520	890
369	521	888
370	522	886
371	523	884
372	524	882
373	525	880
374	526	878
375	527	875
376	528	873
377	529	870
378	530	868
379	530	866
380	531	864
381	532	861
382	533	859
383	534	857
384	535	855
385	536	853
386	537	851
387	538	849
388	539	847
389	540	845
390	541	843
391	542	842
392	543	840
393	544	838
394	545	836
395	547	834
396	547	832
397	548	830
398	549	828
399	550	826
400	551	824
401	552	822
402	553	820
403	554	818
404	555	816
405	556	813
406	557	811
407	558	809
408	559	807
409	559	805
410	561	804
411	561	802
412	562	799
413	563	797
414	564	795
415	565	793
416	566	791
417	567	789
418	568	788
419	569	786
420	570	784
421	571	782
422	572	780
423	573	778
424	574	776
425	574	774
426	575	772
427	576	770
428	577	768
429	578	766
430	579	764
431	580	762
432	581	761
433	582	759
434	583	757
435	584	755
436	585	753
437	586	752
438	586	750
439	587	748
440	588	746
441	589	744
442	590	742
443	591	740
444	592	738
445	593	737
446	594	735
447	595	734
448	596	732
449	597	730
450	598	728
451	599	726
452	600	725
453	601	723
454	602	722
455	603	720
456	605	719
457	606	717
458	607	715
459	607	713
460	609	712
461	610	710
462	611	709
463	612	707
464	613	705
465	614	704
466	615	702
467	616	700
468	617	699
469	618	697
470	619	695
471	620	693
472	621	692
473	622	690
474	623	689
475	624	687
476	625	685
477	626	684
478	627	682
479	628	680
480	629	679
481	630	677
482	631	675
483	632	674
484	633	672
485	634	670
486	635	669
487	636	667
488	637	665
489	638	664
490	639	662
491	640	660
492	641	659
493	642	657
494	643	656
495	644	654
496	645	653
497	646	651
498	647	649
499	648	648
500	649	646
501	650	645
502	651	643
503	652	642
504	653	640
505	654	639
506	655	637
507	656	635
508	657	634
509	658	632
510	659	631
511	660	629
512	661	628
513	662	626
514	664	625
515	665	624
516	666	622
517	667	620
518	668	619
519	669	618
520	670	616
521	671	615
522	672	613
523	673	611
524	674	610
525	675	609
526	676	607
527	677	606
528	678	604
529	680	603
530	681	601
531	682	600
532	683	598
533	684	597
534	685	595
535	686	594
536	687	592
537	688	591
538	689	589
539	690	588
540	691	586
541	692	585
542	693	583
543	694	582
544	695	580
545	696	579
546	697	577
547	698	576
548	699	575
549	701	573
550	702	572
551	703	570
552	704	569
553	705	567
554	706	566
555	707	564
556	708	563
557	709	561
558	710	560
559	711	558
560	712	557
561	713	555
562	714	554
563	715	552
564	716	551
565	717	549
566	718	548
567	719	546
568	720	545
569	720	543
570	721	542
571	723	541
572	724	539
573	725	538
574	725	536
575	726	535
576	727	533
577	728	532
578	729	530
579	730	529
580	731	527
581	732	526
582	734	525
583	735	523
584	736	522
585	737	520
586	738	519
587	739	518
588	740	516
589	741	515
590	742	513
591	743	512
592	744	511
593	745	509
594	746	508
595	747	506
596	748	505
597	749	504
598	750	502
599	751	501
600	752	499
601	753	498
602	754	496
603	755	495
604	756	494
605	757	492
606	758	491
607	759	489
608	760	488
609	761	486
610	762	485
611	763	483
612	764	482
613	764	480
614	765	479
615	766	478
616	767	476
617	768	475
618	769	473
619	770	472
620	771	470
621	772	469
622	773	468
623	775	467
624	776	465
625	778	464
626	779	463
627	781	462
628	783	461
629	784	460
630	786	459
631	787	458
632	788	457
633	790	456
634	792	455
635	793	454
636	795	453
637	797	452
638	798	451
639	800	450
640	801	448
641	802	447
642	804	446
643	805	445
644	807	444
645	808	443
646	810	442
647	811	440
648	813	439
649	814	438
650	815	437
651	817	436
652	818	434
653	819	433
654	820	432
655	821	430
656	823	429
657	824	428
658	825	427
659	826	425
660	828	424
661	829	423
662	830	422
663	831	420
664	832	419
665	834	418
666	835	417
667	836	415
668	837	414
669	839	413
670	840	412
671	841	410
672	842	409
673	843	408
674	845	406
675	846	405
676	847	404
677	848	402
678	849	401
679	850	400
680	851	399
681	853	397
682	854	396
683	855	395
684	856	393
685	857	392
686	858	391
687	859	389
688	860	388
689	861	386
690	862	385
691	863	384
692	863	382
693	864	381
694	865	379
695	866	378
696	867	377
697	868	375
698	869	374
699	870	373
700	871	371
701	872	370
702	873	369
703	874	367
704	875	366
705	877	365
706	878	363
707	879	362
708	880	361
709	881	360
710	882	358
711	883	357
712	884	356
713	885	354
714	886	353
715	887	352
716	888	350
717	889	349
718	890	348
719	891	346
720	892	345
721	894	344
722	895	342
723	896	341
724	897	340
725	898	338
726	899	337
727	900	336
728	901	334
729	901	333
730	902	332
731	903	330
732	904	329
733	905	328
734	906	326
735	907	325
736	908	324
737	909	322
738	910	321
739	911	320
740	912	318
741	913	317
742	914	316
743	915	314
744	916	313
745	917	312
746	918	310
747	919	309
748	920	308
749	921	307
750	922	305
751	923	304
752	924	303
753	924	301
754	925	300
755	926	299
756	927	297
757	928	296
758	929	295
759	930	293
760	931	292
761	932	291
762	933	289
763	934	288
764	935	287
765	936	285
766	937	284
767	937	283
768	938	282
769	939	280
770	940	279
771	941	278
772	942	276
773	943	275
774	944	274
775	945	272
776	945	271
777	946	270
778	947	268
779	948	267
780	949	266
781	950	264
782	950	263
783	951	262
784	952	260
785	953	259
786	954	258
787	955	257
788	956	255
789	957	254
790	958	253
791	959	251
792	960	250
793	961	249
794	962	248
795	963	246
796	964	245
797	965	244
798	966	243
799	966	241
800	967	240
801	968	239
802	969	237
803	970	236
804	971	235
805	972	234
806	973	232
807	974	231
808	975	230
809	976	228
810	977	227
811	977	226
812	978	225
813	979	223
814	980	222
815	981	221
816	982	220
817	983	218
818	984	217
819	985	216
820	986	214
821	987	213
822	988	212
823	988	211
824	989	209
825	990	208
826	991	207
827	992	206
828	993	204
829	994	203
830	995	202
831	996	201
832	997	199
833	998	198
834	999	197
835	1000	196
836	1001	195
837	1002	193
838	1003	192
839	1004	191
840	1005	190
841	1006	188
842	1006	187
843	1007	186
844	1009	185
845	1010	183
846	1011	182
847	1012	181
848	1012	180
849	1014	178
850	1015	177
851	1015	176
852	1016	175
853	1017	173
854	1018	172
855	1019	171
856	1020	170
857	1021	169
858	1022	167
859	1023	166
860	1024	165
861	1025	164
862	1026	162
863	1027	161
864	1028	160
865	1028	159
866	1030	158
867	1030	156
868	1031	155
869	1032	154
870	1033	153
871	1034	151
872	1035	150
873	1036	149
874	1037	148
875	1038	146
876	1039	145
877	1040	144
878	1041	143
879	1042	142
880	1043	140
881	1044	139
882	1045	138
883	1046	137
884	1047	136
885	1048	134
886	1049	133
887	1050	132
888	1051	131
889	1052	130
890	1053	128
891	1054	127
892	1055	126
893	1056	125
894	1058	124
895	1059	122
896	1060	121
897	1061	120
898	1062	119
899	1063	118
900	1064	116
901	1065	115
902	1066	114
903	1067	113
904	1068	112
905	1070	111
906	1071	109
907	1072	108
908	1073	107
909	1074	106
910	1075	105
911	1076	103
912	1077	102
913	1078	101
914	1079	100
915	1080	99
916	1082	97
917	1083	96
918	1084	95
919	1085	94
920	1086	93
921	1087	92
922	1088	90
923	1089	89
924	1090	88
925	1092	87
926	1093	86
927	1094	84
928	1095	83
929	1097	82
930	1098	81
931	1099	80
932	1100	79
933	1101	77
934	1102	76
935	1104	75
936	1104	74
937	1106	73
938	1107	71
939	1108	70
940	1109	69
941	1110	68
942	1111	67
943	1112	65
944	1113	64
945	1114	63
946	1115	62
947	1116	61
948	1117	60
949	1118	58
950	1119	57
951	1120	56
952	1121	55
953	1123	54
954	1124	52
955	1125	51
956	1126	50
957	1127	49
958	1128	48
959	1129	47
960	1130	45
961	1131	44
962	1132	43
963	1134	42
964	1135	41
965	1136	39
966	1137	38
967	1138	37
968	1139	36
969	1140	35
970	1141	34
971	1142	32
972	1143	31
973	1145	30
974	1146	29
975	1147	28
976	1148	27
977	1149	25
978	1150	24
979	1151	23
980	1152	22
981	1153	21
982	1154	19
983	1155	18
984	1156	17
985	1157	16
986	1158	15
987	1159	14
988	1160	12
989	1161	11
990	1162	10
991	1163	9
992	1164	8
993	1165	7
994	1166	5
995	1167	4
996	1168	3
997	1168	2
998	1169	1
999	1170	0
